batch_id,status,scope,evidence,next_action
STC-B145,DEPLOYED_VERIFIED,"Central Capital/Hostinger quality eligibility","PR #145 merge 9b3746d; post-upload expired EURUSD probe returned expired_plan","Verify next fresh natural Capital opportunity + Telegram"
STC-B146,MERGED_EVIDENCE_ONLY,"Corrected 26-symbol community evidence","PR #146 merge 9fbff89","Use symbol-specific profiles only"
STC-B148,MERGED_CRITICAL_PASS_FULL_CI_PENDING,"Research-only community shadow plumbing","PR #148 merge a19bbc8; critical 155 passed","Observe main full CI; then implement Pine streams"
STC-B149,MERGED_READBACK_VERIFIED,"Permanent read-only live readback","PR #149 merge a9f7e6b; run 35992932406 success","Use after every production deploy"
STC-B150,MERGED_BUNDLE_VERIFIED,"Reproducible Hostinger hotfix bundle","PR #150 merge 47292a6; bundle run 35993270128 success","Owner uploads bundle"
STC-PARITY-01,RESEARCH_EVIDENCE_GENERATED,"Six-symbol Python parity fixtures","Run 35992849854 6/6 fixture jobs plus combine success","Build Pine and compare bar-by-bar"
STC-PINE-01,MERGED_CANDIDATE_COMPILE_PARITY_PENDING,"First research-only Pine community parity diagnostic","PR #152 merge 529f8ef; critical CI pass","Compile in TradingView and compare against frozen event fixtures"
STC-B155,MERGED_CRITICAL_PASS_DEPLOY_PENDING,"Preserve valid locked plans across newer monitor-only bars","PR #155 merge 207a564; critical CI 163 passed","Deploy combined Hostinger bundle and verify recovery lifecycle"
STC-B156,MERGED_CRITICAL_PASS_DEPLOY_PENDING,"Clarify Record Trade competition field is automatically selected and readonly","PR #156 merge 73ed580; critical CI success","Included in combined Hostinger bundle"
STC-B157,MERGED_CRITICAL_PASS_DEPLOY_PENDING,"Fix Record Trade invalid_position_target with competition selector and canonical provider symbol resolution","PR #157 merge d605484; critical CI 166 passed","Deploy final seven-file Hostinger bundle"
STC-EURUSD-RECOVERY-01,RECORDED_VERIFIED,"Backfill owner-confirmed existing EURUSD Paper Trading position into STC ledger","Recovery run 36013822127; readback 36014399954 exactly one open position","Supervise existing position; no duplicate entry"
STC-B158,MERGED_CRITICAL_PASS_DEPLOY_PENDING,"Fix manual position open-time rejection using server-time fallback and clock-skew tolerance","PR #158 merge 841dc57; critical CI 168 passed","Deploy final 7-file Hostinger bundle and verify live Record Trade"
STC-B159,MERGED_CI_PASS_DEPLOY_PENDING,"Competition-level trade inventory, recent completed trades and STC confirmed-bar open P/L visibility","PR #159 merge ae51f8010ab1f7ba93fadc3661066397cc167268; CI run 36023363966 success","Deploy Hostinger operator.php + operator_snapshot.php after including with next compatible bundle"
STC-B161,MERGED_CI_PASS_DEPLOY_PENDING,"Execution guardrails: approval-time MAX quantity, oversize rejection, duplicate-open block, post-loss cooldown","PR #161 merge 99b9241485e702ac97e2d3ac653f62b6243ad5a4; PR CI run 36033893798 success; Hostinger bundle run 36036915549 artifact 10825132595","Owner must upload the seven PHP files before production guardrails are effective"
STC-DEPLOY-SSH-01,BLOCKED_OWNER_SECRET_CORRECTION,"Dedicated SSH-key Hostinger deployment for approved seven-file PHP release","Workflow added c758d267; hardened 8f26c504; run 36264035149 failed before upload on key parse; run 36264123000 failed before upload with explicit private-key-shape validation; no production replacement occurred","Replace HOSTINGER_SSH_PRIVATE_KEY with full private-key file (without .pub), then retrigger deployment"
STC-SYSTEM-REVIEW-20260926,COMPLETED_UNVERIFIED,"Full architecture, incident, strategy and next-development review for cross-chat/external-AI handoff","docs/STC_FULL_SYSTEM_REVIEW_2026-09-26.md added in commit 310f9c0c","Independent review may challenge assumptions; use report plus live readback as next evidence"
STC-POLICY-CONSISTENCY-01,PLANNED,"Reconcile advisory competition_pace A_PLUS_ONLY semantics with live shared COMPETITION_OPPORTUNITY 84 policy","DECISIONS.md records semantic drift; live event_decision tests already assert 84 for Capital and AMP","Centralize policy contract and add regression coverage after production deploy/reconciliation"
STC-POLICY-CENTRALIZE-01,IMPLEMENTED_CRITICAL_VERIFIED,"Centralize active competition ids and 84/90 quality-floor policy across advisory/live Python","Commit 81415fbc; included in later corrected-code critical CI: 191 passed, 1 warning","No threshold relaxation; full suite tracked separately"
STC-GATE-FAIL-ATTRIB-01,IMPLEMENTED_CRITICAL_VERIFIED,"Expose persisted quality-gate failure counts by competition and symbol in operator snapshot","Commit d0089bb; contract coverage included in corrected-code critical CI: 191 passed, 1 warning","Requires Hostinger seven-file deployment before live readback can expose it"
STC-SHORT-MISSING-QUALITY-01,IMPLEMENTED_CRITICAL_VERIFIED,"Fix missing optional evidence inflating SHORT setup quality due sign inversion","Commit 760796b; mirrored LONG/SHORT regression; critical CI: 191 passed, 1 warning","Fail-closed correction can lower incorrectly inflated SHORT scores"
