risk_id,status,severity,area,description,evidence,mitigation,next_action
R-STC-001,CLOSED,HIGH,Production deployment,"Deployed Hostinger PHP used pre-PR145 A_PLUS-only eligibility and suppressed valid Capital COMPETITION_OPPORTUNITY plans","Post-upload expired EURUSD probe returned expired_plan after competition-grade acceptance; Live Readback/notification endpoints succeeded","Six-file hotfix deployed and verified","Continue normal fresh-opportunity verification"
R-STC-002,OPEN,HIGH,Competition performance,"Capital account has zero entries zero qualifying days and zero realized P/L while leaderboard threshold is above 11%","Live competition progress plus official leaderboard checkpoint","Restore opportunity delivery first; execute only qualified fresh manual plans","Verify hotfix then act on fresh qualified opportunity"
R-STC-003,CONTROLLED,MEDIUM,Research/live contamination,"Research community weights could be mistaken for live authority","community_component_shadow explicitly live_authority=false and regression test","Require Pine parity and separate promotion gate","Continue parity implementation"
R-STC-004,OPEN,MEDIUM,Live quote evidence,"Direct TradingView screener quotes can be unavailable for Capital symbols","Prior direct batch quote checks returned Quote data not found","Require owner platform live-price confirmation at manual approval","Reconfirm price before every manual order"
R-STC-005,MITIGATED,HIGH,Owner workflow,"A still-valid locked plan could disappear when a newer monitor-only bar became the latest signal, risking duplicate manual action or loss of recovery path","EURUSD incident 2026-09-24; live readback showed quality 80 plan replaced by quality 78 monitor-only context","PR #155 preserves unexpired plan and separates latest context; incompatible context becomes RECOVERY ONLY","Deploy combined Hostinger bundle and verify live behavior"
R-STC-006,MITIGATED,LOW,Owner UX,"Competition field looked editable even though it is intentionally safety-bound and readonly","Owner screenshot/report during EURUSD recovery","PR #156 adds explicit automatically-selected readonly labeling","Deploy combined Hostinger bundle"
R-STC-007,MITIGATED,HIGH,Position recovery,"Record Trade could reject a valid existing position with invalid_position_target when competition_id was blank and/or a bare Capital symbol such as EURUSD was supplied","Owner screenshots plus failed Record Trade; pre-recovery STC open_positions=0","PR #157 adds strict competition selector, client/server symbol normalization and unique safe target inference; existing EURUSD position recovered once idempotently","Deploy final seven-file Hostinger bundle"
R-STC-008,OPEN,CRITICAL,Competition performance,"Capital account realized P/L is -1714.76 with four visible closed losing trades; XAGUSD contributes -1362.81 and the visible executed size (~3.73K) is ~3.02x the latest verified STC proposed quantity (1234.226)","Owner TradingView trade-history screenshot 2026-09-24; sanitized analysis in docs/PERFORMANCE_INCIDENT_2026-09-24.md","Separate signal-quality failure from execution/sizing deviation; do not increase risk; reconcile platform ledger before changing weights","Backfill closed trades, attribute each trade to its source signal, and add planned-vs-actual quantity compliance visibility"
R-STC-009,OPEN,CRITICAL,Open SPX500 risk,"Owner platform evidence shows an open SPX500 LONG of 39.2 units entered 18:05 UTC, approximately 1.99x the nearest 18:00 UTC STC sizing ticket of 19.683465 units; current stop is not evidenced","Owner TradingView trade-history screenshot 2026-09-24; sanitized reconciliation in docs/PERFORMANCE_INCIDENT_2026-09-24.md","Do not add to the SPX500 position; deploy PR #161 guardrails; verify actual live stop/TP before any position-management recommendation","Obtain current Positions/Orders evidence for SPX500 and reconcile the open trade into STC"
R-STC-010,OPEN,CRITICAL,Pending-order lifecycle,"TradingView owner evidence shows two simultaneous working NAS100 Buy Limit entry orders (3.7 each) while no NAS100 position is open; STC also contains a phantom manual_external NAS100 open record","Owner screenshots 2026-09-24 around 19:23 UTC; docs/PERFORMANCE_INCIDENT_2026-09-24.md","Cancel stale NAS100 entries; do not authorize new NAS100 risk until broker orders and STC ledger are reconciled","Implement pending-entry reservation/lifecycle and plan-expiry cancel instruction"
